NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Blive Fortaleza;;;R. José Vilar, 2119 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
EEMTI Dragão do Mar;;;R. Umari - Mucuripe, Fortaleza - CE, 60175-280;;;Ensino Médio
EEFM Bárbara de Alencar;;;R. Pedro Rufino, 38 - Varjota, Fortaleza - CE, 60175-100;;;Ensino Médio
EEEP Maria José Medeiros;;;R. Des. Lauro Nogueira, 1240 - Papicu, Fortaleza - CE, 60176-055;;;Ensino Médio
Escola de Ensino Fundamental e Medio Pe. José Nilson;;;R. Coronel Manuel Jesuíno, 225 - Mucuripe, Fortaleza - CE, 60175-270;;;Ensino Médio
EEM Deputado Manoel Rodrigues;;;R. Oliveira Filho, 1576 - Vicente Pinzon, Fortaleza - CE, 60181-816;;;Ensino Médio
EEFM Cláudio Martins;;;R. Demócrito Rocha, 400 - Monte Castelo, Fortaleza - CE, 63475-088;;;Ensino Médio
Ensino Fundamental E Médio;;;Av. da Universidade, 2090 - Benfica, Fortaleza - CE, 60020-180;;;Ensino Médio
EEM Dr. César Cals;;;Av. Domingos Olímpio, 1800 - Farias Brito, Fortaleza - CE, 63475-099;;;Ensino Médio
Colégio ADM | Infantil e Médio;;;R. Firmino Rocha Aguiar, Nº 600 - Guararapes, Fortaleza - CE, 60810-165;;;Ensino Médio
EEMTI Renato Braga;;;Av. Rui Barbosa, 2000 - Aldeota, Fortaleza - CE, 60115-221;;;Ensino Médio
Colégio Darwin;;;R. Ildefonso Albano, 1030 - Meireles, Fortaleza - CE, 60115-000;;;Ensino Médio
Colégio Nova Dimensão: Ensino Médio, Ensino Fundamental, Educação Infantil, Escola, Fortaleza CE;;;Av. Edilson Brasil Soares, 1599 - Edson Queiroz, Fortaleza - CE, 60834-220;;;Ensino Médio
Colégio Tiradentes Duque de Caxias: Ensino Infantil, Ensino Fundamental, Fortaleza CE;;;Av. Duque de Caxias, 1452 - Centro, Fortaleza - CE, 60034-111;;;Ensino Médio
Colégio Integral;;;Av. Santos Dumont, 5572 - Cocó, Fortaleza - CE, 60191-151;;;Ensino Médio
Colégio Tiradentes Pedro I;;;R. Pedro 1, 1106 - Centro, Fortaleza - CE, 60035-101;;;Ensino Médio
Colégio Estadual Liceu do Ceará;;;Praça Gustavo Barroso, 1 - Centro, Fortaleza - CE, 60010-700;;;Ensino Médio
Escola de Ensino Fundamental e Médio Santa Luzia;;;R. João Cordeiro, 711 - Praia de Iracema, Fortaleza - CE, 60110-300;;;Ensino Médio
Colégio Espaço Aberto - Papicu;;;R. Bento Albuquerque, 1671 - Cocó, Fortaleza - CE, 60192-055;;;Ensino Médio
Colégio 7 de Setembro;;;Avenida Imperador, 1055 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
Colégio Ari de Sá Cavalcante - Sede Major Facundo;;;R. Major Facundo, 980 - Centro, Fortaleza - CE, 60025-100;;;Ensino Médio
Blive Fortaleza;;;R. José Vilar, 2119 - Dionísio Torres, Fortaleza - CE, 60125-001;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
EEFM Arquiteto Rogério Froes;;;Av. das Graviolas, 1000 - Cidade 2000, Fortaleza - CE, 60190-600;;;Ensino Médio
Colégio Dragão do Mar;;;Av. João Pessoa, 4976 - Damas, Fortaleza - CE, 60426-080;;;Ensino Médio
EEFM Padre Rocha;;;Rua Coronel Alves Teixeira, 525 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-000;;;Ensino Médio
Colégio 7 de Setembro | Aldeota;;;R. Henriqueta Galeno, 1011 - Dionísio Torres, Fortaleza - CE, 60135-420;;;Ensino Médio
E.E.F.M. Centro dos Retalhistas;;;Av. da Universidade, 3304 - Benfica, Fortaleza - CE, 60020-180;;;Ensino Médio
EEFM Clóvis Beviláqua;;;Av. Dom Manuel, 511 - Centro, Fortaleza - CE, 63475-137;;;Ensino Médio
E.E.M. Adauto Bezerra;;;Rua Monsenhor Liberato, 1850 - Fátima, Fortaleza - CE, 60411-150;;;Ensino Médio
Colégio Ari de Sá - Sede Aldeota;;;R. Monsenhor Catão, 1655 - Meireles, Fortaleza - CE, 60175-010;;;Ensino Médio
Colégio 21 de Abril;;;Av. Bezerra de Menezes, 600 - São Gerardo, Fortaleza - CE, 60325-001;;;Ensino Médio
EEMTI Visconde do Rio Branco;;;Av. Dom Manuel, 1803 - Centro, Fortaleza - CE, 60060-090;;;Ensino Médio
EMTI Professora Antonieta Cals;;;Rua Monsenhor Salazar, 1480 - São João do Tauape, Fortaleza - CE, 60130-731;;;Ensino Médio
EEM Figueiredo Correia;;;Rua Marechal Deodoro, 733 - Benfica, Fortaleza - CE, 60020-060;;;Ensino Médio
Supletivo J Oliveira - Sede Aldeota;;;R. Osvaldo Cruz, 2312 - Dionísio Torres, Fortaleza - CE, 60125-151;;;Ensino Médio
Colégio Atrius;;;R. Paulo Firmeza, 1290 - São João do Tauape, Fortaleza - CE, 60130-421;;;Ensino Médio
Colégio Lourenço Filho - Sede Centro;;;R. Barão do Rio Branco, 2101 - José Bonifacio, Fortaleza - CE, 60025-061;;;Ensino Médio
EEEP Paulo VI;;;R. Jorge Dumar, 1841 - Jardim América, Fortaleza - CE, 60410-426;;;Ensino Médio
Centro Educacional Vitória;;;Caça e Pesca - Av. Dioguinho, 6207 - Praia do Futuro II, Fortaleza - CE, 60182-125;;;Ensino Médio
