;NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;BAIRRO;Tamanho;Endereco;BAIRRO_LOC;LATITUDE;LONGITUDE;LAT_BAIRRO;LONG_BAIRRO
0;Blive Fortaleza;;;R. JOSÉ VILAR, 2119 , DIONÍSIO TORRES, FORTALEZA , CE, 60125,001;;;Ensino Médio;DIONÍSIO TORRES;7;R. JOSE VILAR  2119 , FORTALEZA;Dionísio Torres, FORTALEZA, CE;-3.7430592;-38.5068339;-3.7480271;-38.5064872
1;CEFOR - Centro Educacional de Fortaleza;;;R. TIBÚRCIO CAVALCANTE, 1958 , ALDEOTA, FORTALEZA , CE, 60125,045;;;Ensino Médio;ALDEOTA;7;R. TIBÚRCIO CAVALCANTE  1958 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7415639;-38.5046181;-3.7341528;-38.5096997
2;EEMTI Dragão do Mar;;;R. UMARI , MUCURIPE, FORTALEZA , CE, 60175,280;;;Ensino Médio;MUCURIPE;6;R. UMARI , FORTALEZA;Mucuripe, FORTALEZA, CE;-3.7258875;-38.4836548;-3.7257065;-38.4848018
3;EEFM Bárbara de Alencar;;;R. PEDRO RUFINO, 38 , VARJOTA, FORTALEZA , CE, 60175,100;;;Ensino Médio;VARJOTA;7;R. PEDRO RUFINO  38 , FORTALEZA;Varjota, FORTALEZA, CE;-3.7278997;-38.4875935;-3.7343231;-38.4860733
4;EEEP Maria José Medeiros;;;R. DES. LAURO NOGUEIRA, 1240 , PAPICU, FORTALEZA , CE, 60176,055;;;Ensino Médio;PAPICU;7;R. DESEMBARGADOR LAURO NOGUEIRA  1240 , FORTALEZA;Papicu, FORTALEZA, CE;-3.7419047;-38.4740314;-3.7395449;-38.4753765
5;Escola de Ensino Fundamental e Medio Pe. José Nilson;;;R. CORONEL MANUEL JESUÍNO, 225 , MUCURIPE, FORTALEZA , CE, 60175,270;;;Ensino Médio;MUCURIPE;7;R. CORONEL MANUEL JESUÍNO  225 , FORTALEZA;Mucuripe, FORTALEZA, CE;-3.7276159;-38.4845884;-3.7257065;-38.4848018
6;EEM Deputado Manoel Rodrigues;;;R. OLIVEIRA FILHO, 1576 , VICENTE PINZON, FORTALEZA , CE, 60181,816;;;Ensino Médio;VICENTE PINZON;7;R. OLIVEIRA FILHO  1576 , FORTALEZA;Vicente Pinzon, FORTALEZA, CE;-3.7313507;-38.46223;-3.7281452;-38.4697385
7;EEFM Cláudio Martins;;;R. DEMÓCRITO ROCHA, 400 , MONTE CASTELO, FORTALEZA , CE, 63475,088;;;Ensino Médio;MONTE CASTELO;7;R. DEMÓCRITO ROCHA  400 , FORTALEZA;Monte Castelo, FORTALEZA, CE;-3.7259132;-38.55099;-3.7260186;-38.5502355
8;Ensino Fundamental E Médio;;;AV. DA UNIVERSIDADE, 2090 , BENFICA, FORTALEZA , CE, 60020,180;;;Ensino Médio;BENFICA;7; DA UNIVERSIDADE  2090 , FORTALEZA;Benfica, FORTALEZA, CE;-3.7360244;-38.5349348;-3.741486;-38.538855
9;EEM Dr. César Cals;;;AV. DOMINGOS OLÍMPIO, 1800 , FARIAS BRITO, FORTALEZA , CE, 63475,099;;;Ensino Médio;FARIAS BRITO;7; DOMINGOS OLÍMPIO  1800 , FORTALEZA;Farias Brito, FORTALEZA, CE;-3.7335729;-38.5392743;-3.7296496;-38.5430883
