NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Supletivo J. Oliveira - Sede Messejana;;;Av. Jornalista Tomaz Coelho, 03 - Altos - Messejana, Fortaleza - CE, 60871-040;;;escola primária
Escola Municipal Projeto Nascente;;;R. Betel, 1715 - Itaperi, Fortaleza - CE, 60714-230;;;escola primária
Escola Espaço da Criança Maria do Carmo;;;Rua Engenheiro Paulo César Barbosa, 107 - Edson Queiroz, Fortaleza - CE, 60811-750;;;escola primária
EMTI Profa. Maria José Ferreira Gomes;;;R. Cônego de Castro, 8617 - Parque Pres. Vargas, Fortaleza - CE, 60713-305;;;escola primária
EMEIF Ismael Pordeus;;;Av. Des. Faustino de Albuquerque, 511 - Jardim Das Oliveiras, Fortaleza - CE, 60821-440;;;escola primária
Creche Escola Proativa Baby;;;R. Osvaldo Cruz, 3276 - Dionísio Torres, Fortaleza - CE, 60120-325;;;escola primária
EMTI Professora Antonieta Cals;;;Rua Monsenhor Salazar, 1480 - São João do Tauape, Fortaleza - CE, 60130-731;;;escola primária
EEM Dr. César Cals;;;Av. Domingos Olímpio, 1800 - Farias Brito, Fortaleza - CE, 63475-099;;;escola primária
EMEIEF Profa. Edith Braga;;;R. Cap. Vasconcelos, 1061 - Aerolândia, Fortaleza - CE, 60850-680;;;escola primária
Berçário e Creche Escola Aurora;;;R. República da Armênia, 930 - Parque Manibura, Fortaleza - CE, 60821-760;;;escola primária
EMEIEF Gustavo Barroso;;;R. Eretides Martins, 26 - São Gerardo, Fortaleza - CE, 60320-350;;;escola primária
EMEIEF Professor Luís Costa;;;R. José Guilherme da Costa, 156 - Luciano Cavalcante, Fortaleza - CE, 60811-320;;;escola primária
EEFM Cláudio Martins;;;R. Demócrito Rocha, 400 - Monte Castelo, Fortaleza - CE, 63475-088;;;escola primária
EEFM Félix de Azevedo;;;Rua Monsenhor Furtado, 757 - Rodolfo Teófilo, Fortaleza - CE, 63475-103;;;escola primária
Escola Municipal Jesus Cristo;;;R. Alberto Ferreira, 564 - Jardim Iracema, Fortaleza - CE, 60341-140;;;escola primária
Colégio Espaço Aberto;;;Av. Dom Luís, 730 - Aldeota, Fortaleza - CE, 60160-230;;;escola primária
EEFM Patronato Sagrada Família;;;R. Martins Neto, 379 - Antônio Bezerra, Fortaleza - CE, 63475-108;;;escola primária
EEEP Joaquim Nogueira;;;R. Moreira de Sousa, 327 - Parquelândia, Fortaleza - CE, 60450-080;;;escola primária
EMEIRF José Carlos da Costa Ribeiro;;;R. Pio Saraíva, 335 - Quintino Cunha, Fortaleza - CE, 60352-470;;;escola primária
Escola Municipal Antônio Correia Lima;;;R. Des. Hermes Paraíba, 934 - Vila Velha, Fortaleza - CE, 60347-155;;;escola primária
EEFM Padre Marcelino Champagnat;;;R. Daura, 120 - Barroso, Fortaleza - CE, 60862-760;;;escola primária
Supletivo J. Oliveira - Sede Messejana;;;Av. Jornalista Tomaz Coelho, 03 - Altos - Messejana, Fortaleza - CE, 60871-040;;;escola primária
EEEP Jaime Alencar de Oliveira;;;Av. Rogaciano Leite, 2285 - Luciano Cavalcante, Fortaleza - CE, 60821-075;;;escola primária
Escola Municipal Francisco Das Chagas De Farias;;;R. Des. Hermes Paraíba, 135 - Barra do Ceará, Fortaleza - CE, 60330-142;;;escola primária
